SNo,Question,OptionA,OptionB,OptionC,OptionD,Answer,Name,LOD
335,"x = {""a"":0, 'b':0, 'd':0}
del(x[""a""])
print(x)
What is the output of the above code?",Error,"{'b',:0 'd':0}","{'b', 'd'}","{'a', 'b', 'd'}",b,harsh vardhan,Easy
336," Among the given statements, which statement defines closures in JavaScript?",JavaScript is a function that is enclosed with references to its inner function scope,JavaScript is a function that is enclosed with references to its lexical environment,JavaScript is a function that is enclosed with the object to its inner function scope,None of the above,b,Eshan,Easy
337,What will be the output of the following JavaScript code snippet?,Error,10,50,5,c,Eshan,Easy
338,Arrays in JavaScript are defined by which of the following statements?,It is an ordered list of values,It is an ordered list of objects,"It is an ordered list of string
",It is an ordered list of functions,a,Eshan,Easy
339,,TRUE,FALSE,Compilation error,runtime error,b,Eshan,Easy
340,,Exception will be thrown,Memory leak,Error,"yes, perfectly",d,Eshan,Easy
341,Which of the following is not javascript data types?,Null,Undefined ,Number,All of the above,d,Eshan,Easy
342, Where is Client-side JavaScript code is embedded within HTML documents?,A URL that uses the special javascript:code, A URL that uses the special javascript:protocol,A URL that uses the special javascript:encoding,A URL that uses the special javascript:stack,b,Eshan,Easy
343,What is the output?,short,123.56,tall,190,a,Eshan,Easy
344,Which of the following can be used to call a JavaScript Code Snippet?,Function/Method, Preprocessor,Triggering Event,RMI,a,Eshan,Easy
345,What is the output?,"Prints ""Empty Array""",Prints 0 to the length of arrray,Prints the numbers in the array in order,Prints the numbers in the array in the reverse order.,c,Eshan,Easy
346,"what is the value of a++ + --b + a++ - --b when a=10 , b=5",22,21,20,25,B, Shubh Kapil,Easy
347,"what is the value of a++ + --b + a++ - --b when a=3 , b=7",18,12,9,7,D, Shubh Kapil,Easy
348,"what is the value of a++ + --b + a++ - --b when a=5 , b=10",14,11,20,12,B, Shubh Kapil,Easy
349,"what is the value of a++ + --b + a++ - --b when a=12 , b=10",22,21,30,25,D, Shubh Kapil,Easy
350,Which of the following languages only contains 0's and 1's?,High Levl,Assembly Language,C++,Machine,D, Shubh Kapil,Easy
351,Size of the interger in python is,64 bits,2 bytes,32 bits,4 bytes,C, Shubh Kapil,Easy
352,Full form of IDE is,Internal Duo Environment,Integrated Devlopment Environment,Interconnected Development Environment,Internal Distinct Environment,B, Shubh Kapil,Easy
353,which of the following is not an example of IDE?,code:blocks,Aptana Studio 3,Komodo,CODE RUNNER,D, Shubh Kapil,Easy
354,Monitor is also called,VDU,DUV,UDV,UVD,A, Shubh Kapil,Easy
355,Which of the following python program gives the output as 6.87 ,"x=round(6.86792,[2])","x=round(6.86492,(2))","x=round(6.86792,'2')","x=round(6.86792,2)",D,Shubh Kapil,Easy
356,The index of starting element of an array of n length,n,n-1,1,0,D, Shubh Kapil,Easy
357,The slowest memory in a computer system,Register,Main Memory,Magnetic tapes,Optical Disk,C,Shubh Kapil,Easy
358,Which of the following is not an OS,Windows,Linux,Catalina,None of these,D, Shubh Kapil,Easy
359,Which of the following is not a network device,Hub,Address Bus,Bridge,Switch,B, Shubh Kapil,Easy
360,Which of the following is not an arithmetic operator,Add(+),Mod(%),AND(&&),Floor Value(/),c, Shubh Kapil,Easy
361,An example of logical operator is,Equal to (=),Double Equal to (==),Add(+),OR(||),D, Shubh Kapil,Easy
362,An example of relational operator is,Equal to (=),Double Equal to (==),AND(&&),none of these,B, Shubh Kapil,Easy
363,,,,,,,,Easy
364,,,,,,,,Easy
365,,,,,,,,Easy
366,,,,,,,,Easy
367,Which of these definitions correctly describes a module?,Denoted by triple quotes for providing the specification of certain program elements,Design and implementation of specific functionality to be incorporated into a program,Defines the specification of how it is to be used,Any program that reuses code,B,Ankit Sidana,Easy
368,Program code making use of a given module is called a ______ of the module.,Client,Interface,Modularity,Docstring,A,Ankit Sidana,Easy
369,______ is a string literal denoted by triple quotes for providing the specifications of certain program elements.,Client,Interface,Modularity,Docstring,D,Ankit Sidana,Easy
370,_____ is a mechanism to achieve abstraction.,Client,Interface,Modularity,Docstring,B,Ankit Sidana,Easy
371,"________ can be visualized as a way of mapping encapsulated abstractions into real, physical modules having high cohesion within the modules and their inter–module interaction or coupling is low.",Client,Interface,Modularity,Docstring,C,Ankit Sidana,Easy
372,In top-down design every module is broken into same number of submodules.,TRUE,FALSE,,,B,Ankit Sidana,Easy
373,All modular designs are because of a top-down design process.,TRUE,FALSE,,,B,Ankit Sidana,Easy
374,Which of the following is not a valid namespace?,Global namespace,Public namespace,Built-in namespace,Local namespace,B,Ankit Sidana,Easy
375,Which of the following is an acceptable variable name in python,int 7de,int d-e,int de,int d e,C,Harsh Rajpal,Easy
376,Which of the following is a Python tuple?,"[7,8,9]","(7,8,9)","{7,8,9}",{},B,Harsh Rajpal,Easy
377,The variables in a function definition are called,Parameters,Arguments,Function,Definition,A,Harsh Rajpal,Easy
378,HTML is used to:,Plot complicated graphs,Translate one language into another,Author Web Pages,Solve equations,C,Harsh Rajpal,Easy
379,The index of middle element of an array of n length,0,n/2 -1,n-1,n/2,B,Harsh Rajpal,Easy
380,The index of last element of an array of n length,0,n-2,n,n-1,D,Harsh Rajpal,Easy
381,Which of the following is not an image format,JPEG,PNG,PHP,SVG,a) and b),Harsh Rajpal,Easy
382,Which of the following is the fastest Memory,HDD,SSD,CACHE,RAM,C,Harsh Rajpal,Easy
383,Which of the following is not a peripheral device,Mouse,Hard Disk,cache,Monitor,C,Harsh Rajpal,Easy
384,The fastest sorting Algorithm is:,Merge,Bubble,Quick,Selection,C,Harsh Rajpal,Easy
385,"  def f(a,b):
      if b:
          b.append('w')
      a += b
      return b
  
  w = 3
  x = 0
  y = [4,3]
  z = [5,4]
  print(f(w,x))    # Line 1
  print(f(y,z))    # Line 2
  print(w)         # Line 3
  print(y)         # Line 4

What is printed by Line 1?",30,3,0,None,c,Haneet,Easy
386,"  def f(a,b):
      if b:
          b.append('w')
      a += b
      return b
  
  w = 3
  x = 0
  y = [4,3]
  z = [5,4]
  print(f(w,x))    # Line 1
  print(f(y,z))    # Line 2
  print(w)         # Line 3
  print(y)         # Line 4

What is printed by Line 3?",30,,0,None,b,Haneet,Easy
387,"  def f(a,b):
      if b:
          b.append('w')
      a += b
      return b
  
  w = 3
  x = 0
  y = [4,3]
  z = [5,4]
  print(f(w,x))    # Line 1
  print(f(y,z))    # Line 2
  print(w)         # Line 3
  print(y)         # Line 4

What is printed by Line 2?"," [5, 4, 'w']","[5, 4]","[4, 3, 5, 4, 'w']","[4, 3, 5, 4]",A,Haneet,Easy
388,"  def f(a,b):
      if b:
          b.append('w')
      a += b
      return b
  
  w = 3
  x = 0
  y = [4,3]
  z = [5,4]
  print(f(w,x))    # Line 1
  print(f(y,z))    # Line 2
  print(w)         # Line 3
  print(y)         # Line 4

What is printed by Line 2?"," [5, 4, 'w']","[5, 4]","[4, 3, 5, 4, 'w']","[4, 3, 5, 4]",c,Haneet,Easy
1,"Which statement is incorrect about ""import modulename""",This form of import prevents name clash,The namespace of imported module becomes available to importing module.,The namespace of imported module becomes part of importing module.,The identifiers in module are accessed as: modulename.identifier.,b) The namespace of imported module becomes part of importing module.,Garv Tandon,Medium
2,Which of these companies of Eduardo Saverin related to?,Microsoft,Facebook,Google,Oyo Rooms,B,Eshan,Medium
3,What will be the output of the following Python code snippet?,TRUE,FALSE,Error,None,C,Eshan,Medium
4,"What type of data is: arr = [(1,1),(2,2),(3,3)]",Tuple of lists,List of tuples,Array of tuples,None,B,Surbhit,Medium
5,"What type of data is: arr = ((1,1),(2,2),(3,3))",Tuple of lists,Tuple of tuples,Array of tuples,None,B,Surbhit,Medium
6,"What type of data is: arr = ([1,1],[2,2],[3,3])",Tuple of lists,Tuple of tuples,Array of tuples,None,A,Surbhit,Medium
7,"What type of data is: arr = [[1,1],[2,2],[3,3]]",List of lists,Tuple of tuples,Array of Arrays,None,A,Surbhit,Medium
8,What will be the output of the following Python code?,,  ,,,c,Eshan,Medium
9,What is a namespace?,A) A collection of values of variables.,B) A collection of associations between names and their values.,none,D) A collection of names.,B,saswata,Medium
10," What is printed by 
         print(2e3)",40.71  # 2 * math.e ** 3,8,2000,6,C,saswata,Medium
11,"Given S = ""The parrot is dead!""
    What is returned by S[7:11]?", rot', ' rot ', 'rot ',rot',c,saswata,Medium
12,"What does this statement print?
       print(""pi is {:8.4f}."".format(math.pi))
    Note the spacing and right-left justification.",pi is 3.141592653589793.,pi is 3.141593.,pi is   3.1416., pi is 3.1416  ,c,saswata,Medium
13,"In Python when we say that a data structure is immutable,
    what does that mean?", It can be modified.,It cannot be modified.,"It can be modified, but with limitations.",None of the above.,B,saswata,Medium
14," The generic ""while"" loop has the following form:
      
      while Boolean:
          statement1
	  if Boolean: 
	      continue
	  if Boolean: 
	      break
      else:
          statement2

    Which statement is true?","If 'break' is executed, statement2 is not executed.","If 'continue' is executed, the loop is terminated.",none," If 'break' is executed, control returns to the top.",A,saswata,Medium
15,  Which of the following statements is correct?,"  The string value """" is equivalent to the Boolean value True.","
     A)  The integer value 0 is equivalent to the Boolean value True.","  The string value ""25"" is equivalent to the Boolean value False.", The integer value -1 is equivalent to the Boolean value True.,D,saswata,Medium
16,"#""All Summer Long"" lyrics Kid Rock
	Line1 = ""it was 1989""
	Line2 = ""my thoughts were short my hair was long""
	Line3 = ""it was summertime in Northern Michigan""
	Line4 = Line1 + Line2 + Line3   
	print(Line2.find('my'), Line4.count('was')) ","(0, 3)",True 1,0 3,True 2,C,saswata,Medium
17,"What is printed by the following?
    Hint: careful, you are iterating through x and appending to x.

	x = ['AB', 'CD'] 
	for i in x: 
    	    x.append(i.lower()) 
	print(x)",No Output (Infinite loop) ,"['AB', 'CD', 'ab', 'cd'] ","['ab', 'cd'] "," ['a','b','c','d']",A,saswata,Medium
18,"Analyze the following code:
	Given: number = 27
	#Code 1:
	if number % 2 != 0: 
    	    odd = True
	else: 
    	    odd = False

	#Code 2:
	odd = number % 2 != 0",Both Code 1 and Code 2 have errors.,Both Code 1 and Code 2 are correct.,Code 1 has errors.,Code 2 has errors.,B,saswata,Medium
19,"Given L = [], What is printed by:
       if L:
           print('first')
       else:
           print('second')",None,first,second, firstsecond,C,saswata,Medium
20," What is printed by this sequence of instructions?

	L = [(1, 2), (3, 4), (5, 6)]
	res = [list(x) for x in L]
	print(res) ","[[1, 2], [3, 4], [5, 6]]"," [(1, 2), (3, 4), (5, 6)]","[1, 2, 3, 4, 5, 6]"," [[1, 2, 3, 4, 5, 6]]
",A,saswata,Medium
21,"What is printed by 
        D = dict() 
	for i in range (4): 
    	    for j in range(2): 
        	D[i] = j 
	print(D)"," {0: 0, 1: 0, 2: 0, 3: 0, 0: 1, 1: 1, 2: 1, 3: 1}","{0: 1, 1: 1, 2: 1, 3: 1}","{0: 0, 1: 0, 2: 0, 3: 0}",TypeError: Immutable object,B,saswata,Medium
22,"What is printed by
   
	T1 = (2) 
	T2 = (1, 4) 
	T1 += 6
	print(T1, T1 + T2) "," (6, 1, 4)"," (2, 6, 1, 4)","(8, 1, 4)",TypeError,D,saswata,Medium
23,"What is printed by
   
	L = [1, 3, 5, 7, 9] 
	print(L.pop(-2), L.remove(L[1]), L) ","None 1 [1, 5, 9]","7 None [1, 5, 9]","None 1 [1, 3, 7, 9]"," None of the above
",B,saswata,Medium
24,"Given this sequence of instructions:

    L1 = [1,2,3]
    L2 = ['a',L1[:],'b',L1]
    L1.append(4)
    print(L2)

    What is printed?","['a', [1, 2, 3, 4], 'b', [1, 2, 3, 4]]"," ['a', [1, 2, 3], 'b', [1, 2, 3, 4]]","['a', [1, 2, 3,4], 'b', [1, 2, 3]]","['a',L1[:],'b',L1]",B,saswata,Medium
25,"Given: x = 7
    what is printed by: print(0 <= x <= 7)",0,7,TRUE,FALSE,C,saswata,Medium
26,"Given s = ""To be, or not to be, that is the question:""
    which code produces the following?
   ['To be', 'or not to be', 'that is the question']
",L = s.split().strip(),"L = s.split(',').strip()      #no space after comma"," L = s.strip(',:').split(',')  #no space after comma","L = s.strip(',:').split(', ') #space after comma",D,saswata,Medium
27,"What does this expression return?
        {a*b for a in range(3) for b in range(3)}"," {0, 1, 2, 3, 4, 6, 9}","{0, 0, 0, 0, 0, 1, 2, 3, 0, 2, 4, 6, 0, 3, 6, 9}","{0, 1, 2, 4}"," {0, 0, 0, 0, 1, 2, 0, 2, 4}",c,saswata,Medium
28,"Given the list L = [('a', 1), ('b', 7), ('c', 5), ('d', 2)]
    what code generates D = {'a': 1, 'b': 7, 'c': 5, 'd': 2}?",D = dict(L),"D = { x:y for x,y in L }","D = dict([(x,y) for x,y in L])",All of the above,D,saswata,Medium
29," Given: S1 = {1,2,3} and S2 = {2,3,4}
    what is the value of S after this operation: S = S1 ^ S2",{1},"{2, 3}","{1, 4}"," {1, 2, 3, 4}",C,saswata,Medium
30,"    def f():
       return 5,6
    
    x = f()
    
    What is the type of x?", set,tuple,list,int,B,saswata,Medium
31," What is the output of the code shown below?

    D = {'mouse':{},'human':{}}   # all curly braces in this line
    D['mouse']['2'] = 3
    D['human']['1'] = 4
    D['mouse']['2'] += 5
    print(D)","{'mouse': {'2': 3}, 'human': {'1': 9}}","{'mouse': {'2': 3}, 'human': {'1': 5}}","{'mouse': {'2': 5}, 'human': {'1': 4}}","{'mouse': {'2': 8}, 'human': {'1': 4}}",D,saswata,Medium
32," 
In which language is Python written?",C,C++,JAVA,GOLANG,,saswata,Medium
33,How can assertions be disabled in Python?,passing -O while running the file,assertions are disabled by default ,both A and B are wrong,assertions cannot be disabled,A,saswata,Medium
34,Which of the following is not a valid set operation in python?,Union,Intersection ,Difference ,None of the above.,D,saswata,Medium
35,What keyword is used in Python to raise exceptions?,raise,try,goto,except,A,saswata,Medium
36,"As what datatype are the *kwargs stored, when passed into a function?",List,Tupple,Dictionary ,None of the above.,C,saswata,Medium
37,"As what datatype are the *args stored, when passed into a function?",List,Tupple,Dictionary ,None of the above.,B,saswata,Medium
38,Which of the following functions converts date to corresponding time in Python?,strptime(),strftime(),both A and B,None of the above.,A,saswata,Medium
39,What is output for − min(”hello world”),e,a blank space character,w,hello world,B,saswata,Medium
40,Mathematical operations can be performed on a string in Python? State whether true or false:,TRUE,FALSE,,,FALSE,saswata,Medium
41,In JAVA how can a constructor be used for a servlet?,Initialisation ,Setup() method,Constructor function ,Initialisation and Constructor function ,D,saswata,Medium
42,Which of the following tool is used to generate API documentation in HTML format from doc comments in source code?,javah command, javadoc tool,javap tool,javaw command,B,saswata,Medium
43,"If there are x vertices then what is time
 coplexity for finding an edge between 
two particular vertices",O(V),O(x),O(V+E),non of the above,b,Umesh,Medium
44,Find the Output for the given program? ,mpuetrco,omputerc,rcompute,mputeoc,b,Umesh,Medium
45,which of the statement will give output 7?,"print(list[1][""Tyre""] + list[2][""Engine""][""TYPE""])","print(list[2][""Engine""][""Milage""] + list[2][""Engine""][""TYPE""])","print(list[2][""Engine""][""TYPE""] + list[2][""Tyre""])","print(list[2][""Engine""][""TYPE""] + list[2][""Engine""][""Tyre""])",c,Umesh,Medium
46,"write the output following ?
a = [4, 5, 2]
b = a
c = a.copy()
d = list(a)
a[2] = [7]
print(a, b, d, c)","[4, 5, [7]] [4, 5, [7]] [4, 5, 2] [4, 5, 2]","[4, [7], 7] [4, 5, 7] [4, 5, 7] [4, 5, 7]","[4, [7], 7] [4, [7], 7] [4, 5, 7] [4, 5, 7]","[4, [7], 7] [4, 5, 7] [4, 5, 7]",a,Umesh,Medium
47,"write the output following ?
a = [5, [10, 8], 7]
b = a.copy()
b[1][1]=7
print(a,b,b)","[5, [10, 7], 7] [5, [10, 7], 7] [5, [10, 7], 7]","[5, [10, 7], 7] [5, [10, 7], 7] [5, [10, 7], 7]","[5, [10, 7], 7] [5, [10, 7], 7] [5, [10, 7], 7]","[5, [10, 7], 7] [5, [10, 7], 7] [5, [10, 7], 7]",b,Umesh,Medium
48,"write the output following ?
a = [3, [6, 8]]
b = a.copy()
c = b.pop(1)[0] - 3 
print(c ** 2)",3,6,9,non of the above,c,Umesh,Medium
49,"c = [1,2,3,4,5]
result = 0
for i in range(0,5):
    if (c[i] % 2 == 0):
        result += c[i]
c.pop()
c.pop()
c.append(result)
print(c)

In the above program values in c lies in",1 to 4,1 to 7,1 to 5,non of the above,b,Umesh,Medium
50,"from random import randint

for i in range(5):
    print(random(1, 5))",five random numbers in between 1 to 4,five random numbers in between 1 to 5,five random number in between 2 to 4,its an exception,d,Umesh,Medium
51,"What is the output for 
def p(i, x=[]):
    x.append(x.append(i))
    return x
for i in range(3):
    y = p(i)
print(y)","[0, None, 1, None, 2, None]","[2, None, 1, None, 0, None]","[[[0]], [[[0]], [1]], [[[0]], [[[0]], [1]]]","[[[0]], [[[0]], [1]], [[[0]], [[[0]]]",a,Umesh,Medium
52,"a=[[""a"",[[""2""]],[[[""b""]]]],[[""c""],""4""]]
flatten=lambda l: sum(map(flatten,l),[]) if isinstance(l,list) else [l]
print(flatten(a))
What is the output for the following ","['a', '2', 'b', 'c', '4']","[""a"",[[""2""]],[[[""b""]]]],[[""c""],""4""]","[""a"",[""2""],[[""b""]]],[""c""],""4""]",non of the above,a,Umesh,Medium
53,"Given j = 0
    how do I print: 1 3 8 19","for i in range(1,5):
           print(i + j, end = ' ')
           j = i + j + 1","for i in range(1,5):
           print(i + j, end = ' ')
           j = j + 2","for i in range(1,5):
           print(j + 1, end = ' ')
	   j = i + j*2 + 1","for i in range(1,5):
           print(j + 1, end = ' ')
	   j = i*2 + j + 2",c,Umesh,Medium
54,"Given j = 0
    how do I print: 1 4 7 10"," for i in range(1,5):
    print(i + j, end = ' ') 
    j = i + j + 1","for i in range(1,5):
    print(i + j) 
    j = j + 2","for i in range(1,5):
    print(j + 1, end = ' ')
    j = i + j*2 + 1",non of the above,b,Umesh,Medium
55,"There is a function f when a f is called 
with proper parametera node is inserted in
a doubly link list.Find the worst 
time complexity of the function f.",O(n),O(nlogn),O(1),O(n^2),a,Umesh,Medium
56,"int meth(int n) { 
    int i, j;
    for (i = 1; i < = n; i++) {
        for (j = 1; j < n; j + = i) {
            printf (‘’ %d %d’’, i, j);
        } 
    } 
}
Find the time complexity of meth function",theta((n^2)logn),theta(nlogn),theta(n),non of the above,b,Umesh,Medium
57,"void meth(int n) { 
    sum=0;
    for (i=1; I <= n; i*=2)
        for(j=1; j<=n;j++)
            sum++;
}

Find the complexity of the meth function",O(nlogn),O((n^2)logn),O(n^2),O(n),a,Umesh,Medium
58,"p=set('sabc')
p.update(set(['a', 'c']))
p.add('ADG')
print(p)
What is the output for the following code","{'ADG','a', 'b', 'c', 's'}","{'c', 's', 'b', 'a', 'ADG'}","{'c', 'ADG', 's', 'b', 'a'}","{'s','c', 'ADG', 'b', 'a'}",c,Umesh,Medium
59,"p=set('XYZ')
p.update(set(['X', 'c']))
p.add('ADG')
print(p)

What is the output for the following code","{'Z', 'Y','X', 'ADG', 'c'}","{'Z', 'X', 'ADG', 'c', 'Y'}","{'X','Y','Z','ADG','c'}",non of the above,b,Umesh,Medium
60,"ct={}
ct[(1,2,4)] = 5
ct[(4,2,1)] = 2
t = 0
for i in ct:
    t=t+ct[i]
print(len(ct)+t)

Find the output for the following code",5,9,12,15,b,Umesh,Medium
61,"ct={}

ct[(4,2,1)] = 7
ct[(1,2)] = 6

t = 0
for i in ct:
    t=t+ct[i]
print(len(ct)+t)
What is the output for follwoing code",12,10,15,18,c,Umesh,Medium
62,"void show(n){
  int t1 = 0, t2 = 1;
  int nt= t1 + t2;
  printf( t1, t2);
  for (int i = 3; i <= n; ++i) {
    printf(""%d, "", nt);
    t1 = t2;
    t2 = nt;
    nt = t1 + t2;
  }
 }
what is the time complexity for show function",O(n),O(2^n),O(nlogn),O(n^2),b,Umesh,Medium
63,"S=""Apple Developers Group ""
print(S[-6:2:-1])",G srepoleveD el,orG srepoleveD e,o elee,rspeDl,A,Adwaita,Medium
64,"## predict output
S=""Apple Developers Group ""
print(S[-7:3:-1])","
orG srepoleveD e", srepoleveD e,G srepoleveD el,oGseoee l,B,Adwaita,Medium
65,"## predict output
txt=""Cristiano Ronaldo""
print(txt[-7:2:-1])",noR onaits,noR onait,ERROR,R onaits,D,Adwaita,Medium
66,"## predict output
txt=""Cristiano Ronaldo""
print(txt[-3:2:-1])",R onaits,lanoR onaits,noR onaits,dlanoR onaits,B,Adwaita,Medium
67,"# predict output
def adg(x,y):
    if(y==0):
        return x
    else:
        return adg(x+y,y-1)
print(adg(-2,10))",53,8,-20,-8,A,Adwaita,Medium
68,"# predict output
def adg(x,y):
    if(y==0):
        return x
    else:
        return adg(x+y,y-1)
print(adg(-8,2))",-16,-5,-6,-10,B,Adwaita,Medium
69,"# predict output
def adg(x,y):
    if(y==0):
        return x
    else:
        return adg(x+y,y-1)
print(adg(12,7))",19,5,40,84,C,Adwaita,Medium
70,"# predict output
def adg(x,y):
    if(y==0):
        return x
    else:
        return adg(x+y,y-1)
print(adg(9,10))",19,1,90,64,D,Adwaita,Medium
71,What is the output of the following code?,3 1,"[1, 2, 'Parameter] {""item"": ""Computer}",Error,None of the above,B,srinivas,Medium
72,"import re
reg = input()
if re.search(""^(B|M)[A-z]{2}[0-9]{2}"", reg):
    print(""valid"")
else:
    print(""invalid"")

which of the following inputs will print ""valid""",bce21,21Bce,Bce21,BCE21,c,harsh vardhan,Medium
73,"n = int(input())
l1=[]
l2=[]
while(n>0):
    l1.append(n)
    n-=1
l3 = l1.sort()
for elements in l1:
    l2.append(str(elements))
print("" "".join(l2).split("" ""))

output when value of n is 5?","['1', '2', '3', '4', '5']","[1,2,3,4,5]","[1, "" "", 2, "" "", 3, "" "", 4, "" "", 5]","1
2
3
4
5",a,harsh vardhan,Medium
74,which string input method may cause a buffer overflow in C?,gets(str),"fgets(str, MAX, stdin);
where MAX is size of str array","scanf(""%s"", str)",std::cin >> str,a,harsh vardhan,Medium
75,"def adg(p=[1,2,5,6], q=2):
    q =  q*5
    r = []
    p.append(q)
    for i in p:
        r.append(q*i)
    return r
print(adg())","[20, 10, 25]","[4, 2, 5]","[10, 20, 50, 60, 100]","[2, 5, 8, 2, 5]",C,Adwaita,Medium
76,"def adg(p=[3,7,4,1], q=3):
    q =  q*2
    r = []
    p.append(q)
    for i in p:
        r.append(q*i)
    return r
print(adg())","[8, 4, 4]","[4, 2, 2]","[6, 8, 5, 8, 3]","[18, 42, 24, 6, 36]",D,Adwaita,Medium
77,"def adg(p=[3,7,4], q=7):
    q =  q*6
    r = []
    p.append(q)
    for i in p:
        r.append(q*i)
    return r
print(adg())","[126, 294, 168, 1764]","[641, 778, 891, 585]","[4, 2, 6]","[24, 12, 36]",A,Adwaita,Medium
78,"def adg(p=[3,7,3,6,4], q=7):
    q =  q*3
    r = []
    p.append(q)
    for i in p:
        r.append(q*i)
    return r
print(adg())","[12, 6, 18, 9]","[63, 147, 63, 126, 84, 441]","[4, 2, 6, 3]","[736, 668, 749, 867]",B,Adwaita,Medium
79,"def adg(p=[3,7,6,4], q=5):
    q =  q*6
    r = []
    p.append(q)
    for i in p:
        r.append(q*i)
    return r
print(adg())","[48, 12, 36, 36]","[90, 210, 180, 120, 900]","[8, 2, 6, 6]","[775, 178, 447, 880]",B,Adwaita,Medium
80,"print(++~~52--+-~~~34)",87,18,88,-19,A,Adwaita,Medium
81,"print(++~~87--34+-~~~~65)",118,56,-12,120,b,Adwaita,Medium
82,What will be the output of the following code?,Random number,0,Error,None of the above,Random Number,srinivas,Medium
83,What will be the output of the following code?,Random number,0,Error,None of the above,Random Number,srinivas,Medium
84,What will be the output of the following code?,Random number,0,Error,None of the above,Random Number,srinivas,Medium
85,What will be the output of the following code?,Random number,0,Error,None of the above,Random Number,srinivas,Medium
86,What will be the output of the following code?,Random number,0,Error,None of the above,Random Number,srinivas,Medium
87,What will be the output of the following code?,Random number,0,Error,None of the above,0,srinivas,Medium
88," What is printed by 
         print(2e2)",40.71  # 2 * math.e ** 3,200,4,6,B,saswata,Medium
89,"Given S = ""The detective is already dead!""
    What is returned by S[7:11]?",  ecti', '  ecti  ', 'ecti ',ecti  ',c,saswata,Medium
90,"What does this statement print?
       print(""pi is {:8.6f}."".format(math.pi))
    Note the spacing and right-left justification.",pi is 3.141592653589793.,pi is 3.141593.,pi is   3.1416., pi is 3.1416  ,B,saswata,Medium
91,"#""Comfortably Numb"" lyrics Pink Floyd
Line1 = ""The child is grown""
Line2 = ""The dream is gone""
Line3 = ""I have become comfortably numb""
Line4 = Line1 + Line2 + Line3   
print(Line2.find('my'), Line4.count('was'))","(0, 3)",True 1,-1 0,True 2,C,saswata,Medium
92,"What is printed by the following?
    Hint: careful, you are iterating through x and appending to x.

        x = ['AB', 'CD'] 
        for i in x: 
                x.append(i.lower()) 
        print(x)","['ab', 'cd']  "," ['a','b','c','d']",No Output (Infinite loop) ,"['AB', 'CD', 'ab', 'cd']  ",C,saswata,Medium
93,"Analyze the following code:
        Given: number = 13
        #Code 1:
        if number % 2 != 0: 
                odd = True
        else: 
                odd = False

        #Code 2:
        odd = number % 2 != 0",Both Code 1 and Code 2 have errors.,Both Code 1 and Code 2 are correct.,Code 1 has errors.,Code 2 has errors.,B,saswata,Medium
94,"Given L = [1], What is printed by:
       if L:
           print('first')
       else:
           print('second')",None,first,second, firstsecond,B,saswata,Medium
95," What is printed by this sequence of instructions?

        L = [(1, 2), (3, 4), (5, 6)]
        res = [for x in L]
        print(res) ","[[1, 2], [3, 4], [5, 6]]"," [(1, 2), (3, 4), (5, 6)]","[1, 2, 3, 4, 5, 6]",error,D,saswata,Medium
96,"What is printed by 
        D = dict() 
        for i in range (4): 
                for j in range(2): 
                D[i] = j 
        print(D)"," {0: 0, 1: 0, 2: 0, 3: 0, 0: 1, 1: 1, 2: 1, 3: 1}","{0: 0, 1: 1, 2: 2, 3: 3}","{0: 0, 1: 0, 2: 0, 3: 0}",TypeError: Immutable object,B,saswata,Medium
97,"What is printed by
   
T1 = (2) 
T2 = (1, 4) 
T1 += (Tupple)(6)
print(T1, T1 + T2) "," (6, 1, 4)"," (2, 6, 1, 4)","(8, 1, 4)",Tupple Not Defined ,D,saswata,Medium
98,"What is printed by
   
        L = [1, 3, 5, 7, 9] 
        print(L.pop(-2), L.remove(L[1]), L) ","None 1 [1, 5, 9]","3 None [1, 7, 9]","None 1 [1, 3, 7, 9]"," None of the above
",B,saswata,Medium
99,"Given this sequence of instructions:

    L1 = [1,2,3]
    L2 = ['a',L1[:],'b',L1]
    L1.append(4)
    print(L1)

    What is printed?","['a', [1, 2, 3, 4], 'b', [1, 2, 3, 4]]"," ['a', [1, 2, 3], 'b', [1, 2, 3, 4]]","['a', [1, 2, 3,4], 'b', [1, 2, 3]]","[1, 2, 3, 4]",D,saswata,Medium
100,"Given: x = 13
    what is printed by: print(0 <= x <= 13)",0,7,TRUE,FALSE,C,saswata,Medium
101,"What does this expression return?
        {a*b for a in range(3) for b in range(3)}"," {0, 1, 2, 3, 4, 6, 9}","{0, 0, 0, 0, 0, 1, 2, 3, 0, 2, 4, 6, 0, 3, 6, 9}"," {0, 0, 0, 0, 1, 2, 0, 2, 4}",error,D,saswata,Medium
102," Given: S1 = {1,2,3} and S2 = {2,3,4}
    what is the value of S after this operation: S = S1 * S2",{1},"{2, 3}","{1, 4}",error,D,saswata,Medium
103," What is the output of the code shown below?

D = {'Itachi':{},'Uchiha':{}}   # all curly braces in this line
D['Itachi']['2'] = 3
D['Uchiha']['1'] = 4
D['Itachi']['2'] += 5
print(D)","{'Itachi': {'2': 3}, 'Uchiha': {'1': 9}}","{'Itachi': {'2': 3}, 'Uchiha': {'1': 5}}","{'Itachi': {'2': 5}, 'Uchiha': {'1': 4}}","{'Itachi': {'2': 8}, 'Uchiha': {'1': 4}}",D,saswata,Medium
